Dharma Sarna Darma Wharma Farma
Shiva Chava Chiva Charma Chota
Ohm Om Don Jhon On
Samsara Salsa Samara Salazar Santa
Maia Maya Malla Mala Dama
YHWH LLave Iave Chave Rave
Torá Toro Tor Corá Corán
Abraham Jesus Judas Abran Alan
Rabino Rabano Rabito Rabit Ra
Sinagoga Sinaloa Sinacoca Sinacoga Sinagago
Pentateuco Pentagrama Pentágono Pentaqueuco Pentaqueque
Tanaj Tana Tanoj Thanaj Alaj
Estrella-de-David Estrella-de-la-muerte Estrella-de-Belén Estrella-de-la-esperanza Estrella-de-Diego
Hebreo Hebra Hetero Hevangelio Helio
Kipa Kappa Copa Kipi Kilo
Corán Tora Fora Coral Taran
musulman musmulman mushulman arabe murritos 
salat saladitas salad saval sabath
Meca Maca mica merca marca
mezquitas mezquital mazorquita  marquita marquesina
Muhammad mucama maluma morada mehama
Yihad jijad Yuca yugular Yajad
Sharia shazam Shania shiva shasa
Imames Imares Imagenes Imagina Imales 
Califato calificado caligrado caligrafo caligrafía  
